Mx,PerSpin,e_PerSpin,Per,e_Per,GaiaDR3
,674.0,,15.6649,0.0014,427234969757165952
,,,203.371,0.089,426558460884582016
,,,,,414196617287885312
,10008.0,36.0,11.5983,6.0E-4,524924310153249920
,3.6,,24.3174,4.0E-4,524677469790488960
,,,159.0,2.0,519352324516039680
,1407.4,3.0,330.0,,511220031584305536
,469.2,,,,518990967445248256
,,,26.496,0.0028,465645515129855872
,9.8661,3.0E-4,28.3,0.2,465628193526364416
,4.4,,36.5,0.29,444752973131169664
,837.6712,3.0E-4,250.3,0.6,168450545792009600
,,,19.41,0.02,276644757710014976
,202.5,0.5,150.0,,252878401557369088
,,,,,184497471323752064
,103.4,0.02,110.3,0.3,441207615229815040
,,,,,431561565357225088
,373.226,0.013,,,423526544838563328
1.4,,,317.3,0.7,131822364779745536
,0.034,,11.2,0.5,131755947406031104
,160.4,0.4,101.2,,52677284433717504
,103.144,0.001,34.548,0.01,5613494119551805184
,307.8,0.04,260.0,,5597252305589385984
,31.908,0.009,80.39,3.0,5548261400354128768
,,,,,5541793213959987968
,12.3203,0.0015,105.8,0.4,
,,,9.5436,2.0E-4,
2.12,283.0,,8.96302,4.5E-4,5620657678322625920
,93.587,0.005,247.8,0.4,5258414192353423360
,,,,,5259009543533179648
1.4,,,16.5507,4.0E-4,5255509901121774976
,860.0,2.0,60.9,,
6.2,,,5.28388,4.6E-4,5337747731560719616
,405.3,0.6,24.0,,5336957010898124160
1.34,4.80188,8.5E-5,2.033,0.029,5337498593446516480
,186.78,0.03,164.6,0.1,5339047221168787712
,,,120.83,0.34,5333660129603575808
,161.76,0.01,52.46,0.06,5335021664274920576
1.7,298.0,4.0,14.365,0.002,5334851450481641088
,292.274,0.001,187.5,,5334823859608495104
,,,6.7,5.0E-4,6053076566300433920
,680.0,,41.498,0.002,6054569565614460800
,,,,,
,191.0,,,,
,14200.0,1400.0,226.0,6.0,6055103928246312960
,,,,,
,272.0,,132.5,,5863533199843070208
,700.0,,,,5862285700835092352
,0.04776,,1236.724526,6.0E-6,5862299960127967488
,,,,,5862260304669853056
,172.84,,1.129167,0.0,
,1500.0,100.0,90.0,,5864664975280537728
,,,13.7135,0.0019,
,503.0,10.0,14.7,0.4,
,17.64,,42.12,,5854175187710795136
,,,,,5878377736381364608
,33.419,0.001,49.63,0.05,
,,,16.68,0.15,5883218164517055488
1.18,526.42,0.07,3.72831,2.0E-5,5886085557746480000
,27.12156,5.9E-4,75.56,0.25,5882543820303309696
,,,,,5884544931471259136
,,,,,4154264171696059520
,9.282155,3.0E-6,30.6,2.2,5884711610544522112
,,,16.0,,5935509395659726592
,,,9.726,,5934776158877214848
,15.346577,1.0E-6,132.89,0.03,
,,,287.6,1.7,
,,,80.09,0.012,5940777877435137024
,1309.0,40.0,8.96,0.01,
,,,10.068,0.002,5941324334694123008
,,,,,5940576971716473344
,,,,,5940285090050544512
,908.79,0.01,4.23785,1.2E-5,
,1246.0,,3.753,0.004,
,228.0,,30.24,,5943246345430928512
,,,3.3194,0.001,
,1093.1036,4.0E-4,6.7828,4.0E-4,
,714.5,0.3,,,5966358530819164544
,54.22,0.03,44.03,0.03,
1.42,37.03322,1.4E-4,10.44812,1.3E-4,
1.96,,,3.41166,4.0E-6,5976382915813535232
,,,,,5972298848613586048
,,,99.1,0.4,
1.91,414.8,0.5,9.7403,4.0E-4,
,,,8.447,0.002,4054559284753424000
,,,,,
,,,51.47,,4056922105185686784
,,,,,4057023702632783744
,,,,,
5.0,,,12.61,0.06,
,3245.0,350.0,,,4060784345959549184
,66.09,0.07,185.5,1.1,
,220.38,0.2,,,
,4.45349,2.0E-5,29.806,0.001,
,,,,,
1.4,71.49,0.02,12.172,0.007,4063908810076415872
,,,18.45,0.1,4064178675797466624
1.5,139.612,0.006,4.5696,9.0E-4,4070968778561141760
,,,,,
,143.6863,2.0E-4,151.1,0.5,
,,,30.0,,4097365235226829312
10.2,,,2.817,0.002,4053096388919082368
,152.26,0.04,54.0,0.4,
,,,5.4246,4.0E-4,4152643113595580416
,56.468,3.0E-4,72.44,0.3,
,120.0,,,,
,,,3.90607,8.0E-5,4104196427943626624
,7.847089,1.5E-5,244.2,0.2,
,,,,,4155000844481174656
,,,,,4155023796790984064
,0.07049821,3.0E-5,,,4252969319080954496
,4.7394,8.0E-4,6.453,0.0016,4256502088596680960
,,,,,
,,,4.73983,2.8E-4,4258160560148155648
,29.4764,8.0E-4,,,4278536022438800640
,997.0,1.0,2.1378,,4259088994647732864
,,,,,
,94.7171,3.0E-4,242.18,0.01,
,21.0526,5.0E-4,18.545,0.003,4258428501693172736
,361.1,0.4,6.067,0.004,4255891924062617088
,218.393,0.002,81.0,,
,9.79156,1.0E-5,37.97,0.09,
,2.761,0.001,22.5827,2.0E-4,4268774695647764352
,89.17,0.02,81.4,0.1,4310649153642824320
,437.5,0.0,8.3753,3.0E-4,4309225217336729088
,36200.0,110.0,,,
,603.6,0.1,4.4007,9.0E-4,4306419980916246656
,,,,,4512788387794112640
4.2,,,13.08,0.0,4293406612283985024
,5937.0,0.0,13.558,0.004,4309253392325650176
,,,22.25,0.05,4309736077923798912
,12.44,,117.2,0.2,4323316622779495680
,,,166.5,0.5,2021785421455305344
,15.78801,4.0E-5,172.7,0.6,2028089540103670144
,18.7,,40.415,0.007,2031939548802102656
,,,,,2026914849346539008
,18612.0,,1296.6375,,2034031438383765760
21.2,,,5.5998,1.0E-4,2059383668236814720
,889.7,4.7,,,2033989790047905024
,36.0,,,,2081690658900784896
,,,46.02,,2083644392294059520
,41.306,0.003,46.0214,5.0E-4,2063791369815322752
7.2,,,0.199685,3.0E-8,
,195.25,0.02,55.0,,2065653598916388352
,358.61,0.03,12.66536,8.8E-4,2162805896614571904
,322.7,0.6,,,1978365123143522176
,65.3508,1.4E-4,20.85,0.05,2178178409188167296
,,,,,1979911002134040960
,392.0,,9.558,0.04,2005653524280214400
,1247.2,0.7,262.0,5.0,2201091578667140352
,,,60.37,0.04,1982359580155628160
,46.753,0.003,,,2207277877757956352
