col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
1,M,1,0,+,68.0076875,53.9108417,151.9142569,3.9508249,T,,C
1,M,0,2,+,339.8153292,39.0502806,96.6508907,-16.9833387,T,S,L
1,M,1,2,+,330.5190667,58.0003694,102.0051587,2.1834475,T,,C
1,M,2,0,+,100.2444,9.8957528,202.9363074,2.1984746,T,N,M
1,M,0,1,-,273.8037708,-20.7282667,10.455741,-1.7407522,T,R,S
1,M,0,1,-,273.8040417,-20.3879694,10.7551989,-1.5788802,T,R,S
1,M,1,2,+,331.2866292,62.2798194,104.8706302,5.390644,T,A,C
2,M,2,0,-,109.6682417,-24.5587,237.8243862,-5.3678858,T,N,C
2,M,2,1,-,155.6706708,-59.5084944,285.0612243,-1.9005879,M,,C
2,M,2,1,-,155.6823917,-59.5050611,285.0643911,-1.8944934,M,,C
2,M,2,1,-,164.6349542,-61.1823611,289.7516739,-1.2334398,M,R,
2,M,2,1,-,164.69465,-61.0975611,289.7421477,-1.1443862,M,R,
2,M,0,2,+,307.9983875,41.2473611,80.0300614,0.9378823,M,S,C
6,M,0,1,-,268.725175,-24.8870972,4.5366971,0.3012191,T,S,S
6,M,0,2,+,319.6132792,43.9459444,87.6100716,-3.8410765,T,S,C
9,M,0,1,+,298.0906875,18.671875,56.4824505,-4.331363,T,,
9,M,0,1,-,270.968525,-24.3607333,6.0089133,-1.2049966,T,N,S
A,M,2,1,-,184.404675,-58.1645667,298.4706109,4.4139352,T,,
A,M,1,0,+,79.0756208,34.3123139,172.0813138,-2.2592389,T,N,O
A,M,0,2,+,305.6573958,41.6747639,79.357523,2.6136957,T,S,
A,M,0,2,+,306.8232167,39.742375,78.2869019,0.7780113,T,S,C
A,M,0,2,+,318.0018958,46.6975861,88.810961,-1.1180234,T,S,C
A,M,1,2,+,328.8137125,57.6626833,101.0788581,2.469317,T,,C
A,M,1,2,+,335.0907625,56.1478361,102.9812789,-0.7572622,T,S,C
A,M,1,2,+,335.8225708,55.633975,103.0486704,-1.411412,T,S,C
A,M,1,2,+,338.69155,58.3012889,105.7680874,0.0591905,T,S,C
A,M,1,2,+,341.9608125,58.086775,107.1782217,-0.9537193,T,N,C
A,M,1,2,+,343.9372667,56.4768611,107.4206982,-2.8703928,T,,C
A,M,1,2,+,345.68565,57.0639472,108.5379229,-2.7387828,T,S,C
A,M,0,2,+,308.34775,41.1536167,80.1107303,0.6707139,M,S,C
A,M,0,2,+,308.246625,41.407075,80.2692587,0.8825857,M,S,C
A,M,0,2,+,308.6233375,41.5292833,80.535686,0.7288099,T,S,C
A,M,0,2,+,308.3251917,41.36025,80.2666802,0.807347,T,B,C
A,M,0,2,+,308.5396625,41.5704694,80.5312959,0.8036321,M,S,C
A,M,0,2,+,308.262175,41.2953139,80.1863248,0.8067552,M,B,C
A,M,0,2,+,307.826375,41.3560167,80.0412595,1.1063441,M,S,C
