Name,RA_ICRS,DE_ICRS,IDFlag,XrayType,Porb,Ppulse,CRSF,SpType,GaiaDR3,FXMMmin,FXMMmax,FChandmin,FChandmax,ChandInst,FXRTmin,FXRTmax,FBATmin,FBATmax,FINTmin,FINTmax,Mass,Dist,Teff,Lopt,Img
IGR J00370+6122,9.2901325802,61.36013319063,0,                   SG,15.67,674, ,BN0.5II-III / BN0.7Ib,427234969757165952,0.125319,95.5227,,,    ,18.11,18.11,18.42,18.42,8.008,8.008,,3248,15411.1,,IGR_J00370+6122.pdf
gam Cas,14.17745099821,60.71672280471,0,"           BE,Gcas,RS",203.59,, ,B0.5IVpe,426558460884582016,157.717,274.058,,,    ,,,83.44,83.44,,,,,,,gam_Cas.pdf
TYC 3681-695-1,18.99604069884,59.15394486766,0,                 Gcas,,, ,B1-2 III/Ve,414196617287885312,0.204523,0.204523,,,    ,,,,,,,,2764,19986.3,,TYC_3681-695-1.pdf
2S 0114+650,19.51122704686,65.29162260285,0,"             CL,SG,XP",11.6,10008,22 (2),B1Iae,524924310153249920,130.893,130.893,,,    ,101.100003,101.100003,155.4,155.4,,,,5229,14131.5,,2S_0114+650.pdf
4U 0115+63,19.63319348306,63.74252240558,0,"BE,CL,HT,QPO,XB,XP,XT",24.3,3.61,"12,24,36,48,62",B0.2Ve,524677469790488960,0.038593,0.103212,,,    ,25.53,25.53,66.26,66.26,,,,5055,6173.5,,4U_0115+63.pdf
IGR J01363+6610,23.95771733364,66.2120234668,0,"                BE,XT",160,, ,B1Ve,519352324516039680,0.117416,0.117416,,,    ,,,,,,,,5690,,,IGR_J01363+6610.pdf
RX J0146.9+6121,26.75087548765,61.35657291151,0,                   BE,330,1407.4, ,B1III-Ve,511220031584305536,25.4422,25.4422,,,    ,105.499998,105.499998,,,,,,2746,,,RX_J0146.9+6121.pdf
RX J0148.9+6121,27.225,61.35,2,                     ,,, , ,,,,,,    ,,,,,,,,,,,RX_J0148.9+6121.pdf
IGR J01583+6713,29.57703291339,67.22318460661,0,"                BE,XT",,469.2, ,B2IVe,518990967445248256,,,,,    ,11.35,11.35,,,,,,5783,34246.1,,IGR_J01583+6713.pdf
LS I +61 303,40.13193126483,61.22933050839,0,"             BE,GP,RS",26.5,, ,B0Ve,465645515129855872,5.79982,18.4693,2.213757,2.213757,ACIS,13.55,13.55,,,,,,2489,,,LS_I_+61_303.pdf
Swift J0243.6+6124,40.91843191991,61.43437766836,0,"                CL,RS",28.3,9.87,146,O9.5Ve,465628193526364416,1150.49,1150.49,,,    ,1380.000003,2019.999945,,,,,,5195,33857.7,,Swift_J0243.6+6124.pdf
V0332+53,53.74962972498,53.17313997828,0,"   BE,CL,HT,QPO,XP,XT",34,4.4,"28,51/74",O8-9Ve,444752973131169664,0.041207,0.041207,0.021787,0.021787,ACIS,130.399996,130.399996,240.69,240.69,,,,5734,,,V0332+53.pdf
4U 0352+309,58.84615062234,31.04583609186,0,"             BE,CL,XP",250.3,837.67,29,B0Ve,168450545792009600,497.703,505.908,0,0, HRC,,,667.23,667.23,,,,629,41186.5,,4U_0352+309.pdf
XTE J0421+560,64.92556123477,55.99936067904,0,"                BE,XT",19.41,, ,B1/2I[e],276644757710014976,0.331409,4.04133,,,    ,3.532,3.532,,,,,,4111,,,XTE_J0421+560.pdf
BSD 24-491,70.247207393,44.53034418648,0,"             BE,CL,XP",155,202.5,32,B0e,252878401557369088,56.9835,56.9835,,,    ,124.599997,124.599997,,,57.343003,57.343003,,2287,32531.7,,BSD_24-491.pdf
HD 34921,80.64680481184,37.67599293642,0,                   BE,,, ,B0 IVpe,184497471323752064,,,,,    ,,,,,,,,1330,37140.6,,HD_34921.pdf
1A 0535+262,84.72739245821,26.3157752444,0,"BE,CL,HT,QPO,RS,XP,XT",110.6,103.47,50110,O9.7IIIe,3441207615229815040,27.2642,27.2642,0,0, HRC,96.349997,96.349997,1293.65,1293.65,,,,1657,41504,,1A_0535+262.pdf
HD 249179,88.97934004292,28.78510745618,0,                   BE,,, ,B5ne,3431561565357225088,,,,,    ,,,,,,,,1811,16927.4,1957,HD_249179.pdf
IGR J06074+2205,91.86088634198,22.09659725892,0,"                BE,XT",,373.2, ,B0.5Ve,3423526544838563328,6.78094,6.78094,1.387437,1.387437,ACIS,9.499,9.499,,,,,,5230,28984.2,,IGR_J06074+2205.pdf
HESS J0632+057,98.24690241609,5.80032052835,0,                   GP,316.8,, ,B0Vpe,3131822364779745536,0.556953,1.52676,,,    ,1.676,1.676,,,,,,1695,41272.3,,HESS_J0632+057.pdf
PSR J0635+0533,98.82616381073,5.55174484414,0,"                BE,XP",11.2,0.03, ,B1IIIe-B2Ve,3131755947406031104,0.023704,0.425726,,,    ,0.8063,0.8063,,,,,,5716,33740.6,,PSR_J0635+0533.pdf
MXB 0656-072,104.57202970668,-7.2097733854,0,"      BE,CL,QPO,XP,XT",101,160.7,33,O9.7Ve,3052677318793446016,,,1.662552,1.662552,ACIS,1811.999994,1811.999994,,,,,,5722,,,MXB_0656-072.pdf
MAXI J0709-159,107.40407113202,-16.09632779315,1,                     ,,, , ,2935943990338336000,,,,,    ,,,,,,,,2646,23312.7,,MAXI_J0709-159.pdf
4U 0728-25,112.22324075355,-26.10801904281,0,"             BE,XP,XT",34.5,103.14, ,O5Ve,5613494119551805184,,,21.909474,21.909474,ACIS,17.78,17.78,21.78,21.78,,,,6694,39496,,4U_0728-25.pdf
CCDM J07474-5320A,116.84823636345,-53.33241280862,0,                   BE,,, ,B7 IV-Ve,5489434710755238400,,,,,    ,,,,,,,,650,9995.14,,CCDM_J07474-5320A.pdf
1H 0749-600,117.56570833333,-61.0995,2,                   BE,,, ,B8IIIe,,,,,,    ,,,,,,,,,,,1H_0749-600.pdf
SGR 0755-2933,118.92702181368,-29.56485835566,0,                     ,59.52,308, ,B0Ve,5597252305589385984,,,,,    ,5.135,5.135,,,,,,3264,37141.4,,SGR_0755-2933.pdf
LS 992,123.11814876923,-31.24780669997,0,"             BE,XP,XT",81.3,31.91, ,B0.2IVe,5548261400354128768,0.150299,0.150299,0.024199,0.024199,ACIS,,,,,,,,6632,31924.5,,LS_992.pdf
IGR J08262-3736,126.5568795087,-37.61995049188,0,                   BE,,, ,OBV,5541793213959987968,6.28771,6.28771,,,    ,10.31,10.31,,,,,,5831,35001.9,,IGR_J08262-3736.pdf
Ginga 0834-430,128.97912882722,-43.18817694764,0,"             BE,XP,XT",105.8,12.3, ,B0-2III-Ve,5523448274762133632,,,,,    ,726.199989,726.199989,32.04,32.04,,,,1015,,,Ginga_0834-430.pdf
IGR J08408-4503,130.19908438922,-45.05837165994,0,"                SG,XT",9.54,, ,O8.5Ib-II(f)p,5522306019626566528,0.230446,0.912699,,,    ,19.939999,19.939999,,,,,,2281,8883.73,,IGR_J08408-4503.pdf
HD 77581,135.52855879751,-40.55465296118,0,"       CL,EB,RS,SG,XP",8.96,283,24 (2),B0.5 Ib,5620657678322625920,485.759,1184.06,,,    ,1758.999946,1758.999946,4018.59,4018.59,,,,1869,13595,,HD_77581.pdf
MAXI J0903-531,136.27840443491,-53.50541308375,0,                     ,57,14.05, ,B1.5-2 III-Ve,5311384333263075840,,,,,    ,,,,,,,,9229,19805.34,,MAXI_J0903-531.pdf
GRO J1008-57,152.44564453704,-58.29320747534,0,"       BE,CL,HT,XP,XT",249.5,93.5,78,B0 IIIVe,5258414192353423360,,,10.414049,10.414049,ACIS,116.000001,116.000001,266.51,266.51,49.335001,49.335001,,3213,17671.5,,GRO_J1008-57.pdf
IGR J10101-5654,152.5494159915,-56.92554247032,0,                   BE,,, ,B0.5Ve or B0Ivpe,5259009543533179648,,,1.007956,1.007956,ACIS,14.1,14.1,,,,,,3164,6005.7,41.93,IGR_J10101-5654.pdf
1FGL J1018.6-5856,154.73155926817,-58.94609420856,0,                   GP,16.55,, ,O6V((f)),5255509901121774976,0.835135,1.68269,1.104781,1.104781,ACIS,1.524,1.524,,,,,,4802,8938.3,,1FGL_J1018.6-5856.pdf
LS 1698,159.3970926344,-56.79883928572,0,"             BE,XP,XT",60.9,862, ,B0V-IIIe,5352018121173519488,4.36319,4.36319,,,    ,83.439998,83.439998,28.24,28.24,,,,4519,19939.8,,LS_1698.pdf
HD 96670,166.80799982117,-59.87309817392,0,"                BE,BH",5.28,, ,O8.5f(n)p,5337747731560719616,,,,,    ,0.5187,0.5187,,,,,6.2,3207,,,HD_96670.pdf
1A 1118-61,170.23817252152,-61.91670671056,0,"          BE,CL,XP,XT",24,405,"55, 110?",O9.5Ve,5336957010898124160,,,2.922933,2.922933,ACIS,42.119998,42.119998,,,,,,3119,28987.2,,1A_1118-61.pdf
Cen X-3,170.3128552789,-60.62377582639,0,"      CL,EB,QPO,SG,XP",2.09,4.8,28,O6.5 II-III,5337498593446516480,224.056,224.056,0,0, HRC,3860.999964,3860.999964,1044.71,1044.71,,,1.57,6072,13653.09,,Cen_X-3.pdf
IGR J11215-5952,170.44505383092,-59.86331299057,0,"                SG,XT",165,186.8, ,B0.5Ia,5339047221168787712,37.71,64.4271,,,    ,12.02,12.02,,,,,,6454,8259.16,,IGR_J11215-5952.pdf
IGR J11305-6256,172.7787408554,-62.94691902264,0,                   BE,120.83,, ,B0IIIne,5333660129603575808,,,,, HRC,31.089999,31.089999,20.06,20.06,,,,1654,23403.58,,IGR_J11305-6256.pdf
IGR J11435-6109,176.00117181802,-61.12679578911,0,"             BE,XP,XT",52.46,161.8, ,B0.5Ve,5335021664274920576,,,1.962376,1.962376,ACIS,,,47.9,47.9,36.607999,36.607999,,8641,9699.07,557.7,IGR_J11435-6109.pdf
1E 1145.1-6141,176.86894042634,-61.95371922583,0,"             RS,SG,XP",14.4,298, ,B2Iae,5334851450481641088,160.761,160.761,,,    ,503.300013,503.300013,,,,,,7179,7178.09,,1E_1145.1-6141.pdf
4U 1145-619,177.00003001549,-62.20691022592,0,"             BE,XP,XT",187.5,292.4, ,B0.2 III,5334823859608495104,,,8.488288,8.488288,ACIS,129.800004,129.800004,,,,,,2034,41348.1,,4U_1145-619.pdf
1ES 1210-64.6,183.3115687929,-64.87513252304,1,                   BE,6.71,, ,B5V,6053076566300433920,,,,,    ,107.199999,107.199999,21.09,21.09,,,,3033,8756.6,122.4,1ES_1210-64.6.pdf
3U 1223-62,186.65645139154,-62.77035949368,0,"          CL,SG,XP,XT",41.59,696,45,B1 Ia+,6054569565614460800,,,12.53649,12.53649,ACIS,643.300024,643.300024,2834.56,2834.56,,,,3536,6383.67,,3U_1223-62.pdf
IGR J12341-6143,188.50210227954,-61.71761859192,1,                     ,,, , ,6054778507172454912,,,,,    ,,,,,,,,6326,,,IGR_J12341-6143.pdf
HR 4804,189.8102418428,-75.37063019321,0,                   BE,,, ,B8Vn(e),5837600152935767680,,,,,    ,,,,,,,,208,8530.92,,HR_4804.pdf
1A 1238-59,190.50416666667,-60.2,2,                   XP,,191, , ,,,,,,    ,,,,,,,,,,,1A_1238-59.pdf
HD 110432,190.70931703329,-63.05864217079,0,"              BE,Gcas",226,14200, ,B0.5IVpe,6055103928246312960,10.2077,43.8943,,,    ,,,,,,,,468,35305.3,,HD_110432.pdf
SRGA J124404.1-632232,191.01578611571,-63.37559907241,0,                     ,138,538.7, ,Be,5862928537183584768,,,,,    ,1.863,1.863,,,,,,6159,21012.74,,SRGA_J124404.1-632232.pdf
1A 1244-60,191.89583333333,-60.64277777778,2,                   XT,,, , ,,,,,,    ,,,,,,,,,,,1A_1244-60.pdf
mu.02 Cru,193.6534513,-57.16871140742,0,                   BE,,, ,B5Vne,6060547335455660032,,,,,    ,,,,,,,,123,13747.8,362.3,mu.02_Cru.pdf
3U 1258-61,195.32119649506,-61.60184481323,0,"          BE,CL,XP,XT",133,272,51,B2 Vne,5863533199843070208,,,,,    ,117.400006,117.400006,529.05,529.05,21.45,21.45,,1853,,,3U_1258-61.pdf
2RXP J130159.6-635806,195.4946052393,-63.96912167623,0,"             BE,XP,XT",,643, ,B0-6Ve,5862285700835092352,32.9088,148.632,,,    ,34.479999,34.479999,,,,,,4258,5615.4,570.3,2RXP_J130159.6-635806.pdf
PSR B1259-63,195.69848851536,-63.83573123377,0,                   GP,1236.72,0.05, ,O9.5Ve,5862299960127967488,1.22094,40.9181,0.977776,0.977776,ACIS,19.889999,19.889999,,,,,,2098,35609.8,,PSR_B1259-63.pdf
IGR J13186-6257,199.604394,-62.97102,0,                   BE,19.99,, ,B0-6Ve,,,,0.159385,0.159385,ACIS,12.57,12.57,,,,,,,,,IGR_J13186-6257.pdf
SAX J1324.4-6200,201.111198,-62.0220906,2,                   XP,1.1292,172.84, ,Be?,,4.63344,4.63344,1.353975,1.353975,ACIS,6.424,6.424,,,,,,,,,SAX_J1324.4-6200.pdf
HD 119682,206.63566597037,-62.92338696174,0,                 Gcas,90,1500, ,B0Ve,5864664975280537728,1.29883,2.74342,0.910086,0.910086,ACIS,2.363,2.363,,,,,,1535,29823.6,,HD_119682.pdf
3FGL J1405.4-6119,211.310065,-61.307838,0,                   GP,13.71,, ,O6.5III,,0.363021,0.61825,0.131208,0.131208,ACIS,0.5282,0.5282,,,,,,,,,3FGL_J1405.4-6119.pdf
IGR J14059-6116,211.48333333333,-61.275,2,                   BE,13.71,, ,O6.5III,,,,,,    ,,,,,,,,,,,IGR_J14059-6116.pdf
MAXI J1409-619,212.01132,-61.983891,1,"             BE,CL,XP",14.7,503,"44,73,128",O/B?,,,,,,    ,4.67,102.799998,,,,,,15000,,,MAXI_J1409-619.pdf
2S 1417-624,215.30140070272,-62.69887940172,1,"             BE,XP,XT",42.12,17.6, ,B1Ve,5854175187680510336,,,0.297981,0.297981,ACIS,122.6,122.6,52.35,52.35,,,,6453,5476.05,,2S_1417-624.pdf
IGR J14331-6112,218.28465330129,-61.26107376019,0,                   BE,,, ,early BIII or mid BV,5878377736381364608,,,3.248466,3.248466,ACIS,6.075,6.075,,,,,,1865,6691.5,0.4632,IGR_J14331-6112.pdf
IGR J14488-5942,222.180092,-59.703815,0,                   BE,49.63,33.42, ,Oe/Be,,,,,,    ,3.347,3.347,,,,,,,,,IGR_J14488-5942.pdf
Cir X-1,230.17017640757,-57.16674216654,0,                     ,16.68,, ,B5-A0I,5883218164517055488,11.7721,91.7077,3.61357,3.61357,ACIS,22.88,122.099997,81.88,81.88,,,,5107,4296.2,,Cir_X-1.pdf
4U 1538-52,235.59729827777,-52.38601199162,0,"          CL,EB,SG,XP",3.73,526.42,"22,47",B0 Iab,5886085557746480000,40.7808,40.7808,2.683859,2.683859,ACIS,271.900003,271.900003,328.27,328.27,,,1.02,5988,5980.2,2698,4U_1538-52.pdf
XTE J1543-568,236.02135471815,-56.76187017075,1,"                XP,XT",75.56,27.12, ,Be?,5882543824607819776,,,,,    ,123.699995,123.699995,,,5.434,5.434,,5920,,,XTE_J1543-568.pdf
HD 141926,238.59067450083,-55.3289895306,0,                     ,,, ,B2 IIIn,5884544931471259136,,,,,    ,,,,,,,,1352,23809.21,,HD_141926.pdf
2S 1553-542,239.4512684,-54.4147321,2,"          BE,CL,HT,XP",30.6,9.28,23-27,B1-2V,,,,0.014672,0.014672,ACIS,1632.999957,1632.999957,,,,,,20000,,,2S_1553-542.pdf
IGR J16195-4945,244.88409544759,-49.74182617003,0,                   SG,3.95,, ,ON9.7Iab,5935509395659726592,,,0.940854,0.940854,ACIS,18.660001,18.660001,31.51,31.51,20.878001,20.878001,,2404,7986.8,10.91,IGR_J16195-4945.pdf
IGR J16207-5129,245.19273371547,-51.50170602014,0,                   SG,9.73,, ,B0I / B1Ia,5934776158877214848,23.3665,23.3665,,, HRC,38.340001,38.340001,,,,,,6583,7295.6,,IGR_J16207-5129.pdf
Swift J1626.6-5156,246.65214511693,-51.9418481573,0,"      BE,CL,HT,QPO,XP",132.9,15.36,"10,18",B0-2Ve,5933976985766949376,,,0.749899,0.749899,ACIS,41.240001,41.240001,14.98,14.98,,,,7904,,,Swift_J1626.6-5156.pdf
IGR J16283-4838,247.045134,-48.648914,0,                   SG,287.6,, ,sgBe,,0.338007,0.338007,,,    ,0.5935,0.5935,15.39,15.39,8.437,8.437,,,,,IGR_J16283-4838.pdf
IGR J16318-4848,247.95125817288,-48.81687706741,0,"                RS,SG",80,, ,B0-5sgBe,5940777877435137024,2.27926,7.49322,,,    ,8.999,8.999,462.16,462.16,298.012002,298.012002,,7568,4007.3,,IGR_J16318-4848.pdf
IGR J16320-4751,248.0072029,-47.8734389,2,"             RS,SG,XP",8.99,1308.8,14,O8I,,13.3766,155.897,0,0, HRC,242.800002,242.800002,312.16,312.16,209.494995,209.494995,,3500,,,IGR_J16320-4751.pdf
IGR J16328-4726,248.157668,-47.394887,2,"                SG,XT",10.08,, ,O8Iafpe,,3.3082,16.5575,,,    ,13.94,13.94,23.76,23.76,,,,,,,IGR_J16328-4726.pdf
IGR J16327-4940,248.16638484576,-49.70382899144,0,                     ,,, ,OB,5940576971716473344,,,,,    ,,,,,,,,12939,,,IGR_J16327-4940.pdf
IGR J16374-5043,249.30553460356,-50.72612789596,1,"                SG,XT",,, , ,5940285090075838848,,,,,    ,4.484,4.484,,,,,,2854,,,IGR_J16374-5043.pdf
IGR J16393-4643,249.7727763,-46.7034977,2,"          CL,SG,XB,XP",4.24,908.79,29,BIV-V(OB)$^dag$,,12.979,45.7352,9.751795,9.751795,ACIS,32.39,32.39,71.02,71.02,,,,4000,,,IGR_J16393-4643.pdf
IGR J16418-4532,250.46160612338,-45.54040336052,0,"                SG,XT",3.74,1246, ,BN0.5Ia,5943166184173519744,0.341821,72.1068,,,    ,0,44.05,54,54,49.049001,49.049001,,4926,,,IGR_J16418-4532.pdf
