source_id,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,l,b,ruwe,distance_bj,distance_bj_low,distance_bj_high,Name,Mx,Mx_err,Mo,Mo_err,RV,RV_err,Period,Period_err,Spin_period,Spin_period_err,distance_para,pm_l_poleski,pm_b_poleski,galactic distance,circular velocity,LSR velocity,mu_l_sol,mu_b_sol,RV_r_sol,mu_l_rot,mu_b_rot,RV_rot,Peculiar Velocity,Peculiar Radial Velocity,peculiar_mu_l,peculiar_mu_b,Peculiar Velocity 3D,dist_err,SpType,Mod_SpType,SpColor
168450545792009600,58.84615062234396,0.02955361269414425,31.045836091857545,0.02079164795577526,-1.282117252826291,0.05307381600141525,-1.8690907560201113,0.030308086425065994,1.627402622661778,0.03745640814304352,,,6.261696815490723,163.0813533466715,-17.136203125538678,1.5027114152908325,0.6001466000000001,0.586646,0.6135245,X Per,,,15.5,,1.0,0.9,250.3,0.6,837.6712,0.0003,0.6144760897364175,0.3095889769659371,-2.245323934218814,8.700283372674695,240.10342425051675,61.95124561277016,5.678754520826265,-1.8927588919495255,8.331080353841104,-0.46936479892475763,-0.44992532117984846,-4.431322519296764,13.941189475632727,-2.8997578345443404,-4.89980074493557,0.09736027891056015,14.239570200483369,0.014142822981115537,B0Ve,xkcd:purple,xkcd:green
184497471323752064,80.64680481184236,0.025397874414920807,37.6759929364201,0.01957647316157818,1.3049449567151956,0.04082612693309784,-3.9994793622028038,0.02804887294769287,0.7213697567669315,0.030094077810645103,,,7.2317328453063965,170.05338802722687,0.7103172589013076,1.0481436252593994,1.3198279,1.2776985,1.3696732,EXO 051910+3737.7,,,17.5,,-20.5,4.4,,,,,1.3862516284046154,4.038422032220199,-1.1789249333274139,9.452638909302912,240.8838107733035,35.50056774678729,2.439435356227649,-1.2311682821565653,8.193677748526671,-0.1463444758629011,0.011132043075021853,-6.514993682543146,10.921792847284518,-22.178684065983525,1.7453311518554506,0.04111130575412953,24.72204655560916,0.05783159604211228,B0 IVpe,xkcd:purple,xkcd:green
252878401557369088,70.24720739300419,0.011905986815690994,44.53034418647852,0.008385959081351757,0.10064623612212906,0.016362275928258896,-1.186127754569379,0.013658520765602589,0.378823380551682,0.015042701736092567,,,10.40385627746582,159.8470955000755,-1.2700235829277626,0.8796510100364685,2.4436519,2.3526979999999997,2.519473,RX J0440.9+4431,,,17.5,,,,150.0,,202.5,0.5,2.639752590095405,0.9593255549561471,-0.7047859211231655,10.477343032770246,241.85577277691382,64.06117023428585,1.4234979660475775,-0.64554297906578,5.620332737130843,-0.5022273305322419,-0.03456049782896494,-23.21298212009085,0.5253842437964262,,0.03805491944081152,-0.02468244422842062,,0.10482196429390027,B0e,xkcd:green,xkcd:green
276644757710014976,64.92556123476727,0.012604312971234322,55.999360679043434,0.008108320645987988,-0.4735607216045463,0.01827656850218773,-0.5096656032780096,0.013492867350578308,0.2100882458297216,0.014864281751215458,,,10.766115188598633,149.17651611413766,4.133059262254314,1.1442627906799316,4.128381999999999,3.857449,4.402587400000001,XTE J0421+560,,,,,-51.0,2.0,19.41,0.02,,,4.759904563202022,0.02670675915560328,-0.6952017931699837,11.874963606736411,243.04361964900133,84.15072114876706,0.8796196505446521,-0.3958616206504662,1.7521777685708044,-0.9355976382373346,0.13970778538641704,-55.12521551866847,8.74255457081801,2.3730377500976645,0.08268474684828575,-0.4390479579059345,9.05889444618489,0.3367754452749184,B1/2I[e],xkcd:green,xkcd:green
414196617287885312,18.996040698840275,0.010982572101056576,59.15394486765568,0.012779636308550835,-2.4625832668630094,0.014893881045281887,-0.546486466252775,0.01677328534424305,0.3391933399322079,0.018039019778370857,,,11.412055969238281,126.08000772759438,-3.5676859152271287,1.0861941576004028,2.607235,2.499728,2.700093,EM* AS   14,,,,,,,,,,,2.9481710938070385,-2.3920245855272095,-0.800738525527853,9.908228429852588,241.32785437376185,158.3873947042304,1.3543735403539963,-0.6370991545909823,-4.149277022000289,-3.025490641480909,-0.17042466777322507,-41.0680036965889,8.909581185094764,,-0.7209074844002972,0.006785296836354426,,0.15678997907752415,B1-2 III/Ve,xkcd:green,xkcd:green
426558460884582016,14.177450998208093,1.8335996866226196,60.71672280471204,2.3911945819854736,,,,,,,,,2.0645833015441895,123.57698659515256,-2.1484240190698634,,,,,gam Cas,,,13.0,0.0,-0.018,0.075,203.371,0.089,,,1.0,,,0.0,1.6803199999999998,inf,,,-5.069058694788397,,,nan,,nan,,,,,B0.5IVpe,xkcd:purple,xkcd:green
427234969757165952,9.290132580203235,0.008413794450461864,61.36013319063004,0.009818237274885178,-1.7956235405295953,0.010947090573608875,-0.5251300483100196,0.013608978129923344,0.27189066538368456,0.012059882283210754,,,9.454655647277832,121.22141620023214,-1.4641898756122689,0.9751836657524109,3.40784,3.2624436,3.5502334,IGR J00370+6122,,,22.0,,-80.0,3.0,15.6649,0.0014,674.0,,3.677948996847052,-1.8178140519374264,-0.4422414945716403,10.33498447483242,241.7263509582219,161.12538913612698,1.0081838839954012,-0.47988460641303254,-5.836009540939745,-3.2159193819642735,-0.0674952538869339,-54.089587838333074,6.523414064590358,-20.07440262072718,0.3899214460314462,0.10513836572832615,21.107737245786286,0.16313775201894146,BN0.5II-III / BN0.7Ib,xkcd:red,xkcd:red
444752973131169664,53.749629724978455,0.013929484412074089,53.17313997828423,0.012730369344353676,-0.26805266659388,0.019742585718631744,0.4401283844933388,0.01982794515788555,0.13434727271763658,0.020151322707533836,,,14.200214385986328,146.05208942276994,-2.1940257086354467,1.0700557231903076,5.883423,5.4845513,6.3010405,V 0332+53,,,18.8,,,,36.5,0.29,4.4,,7.4433963546230135,-0.4757472370713855,0.19806512394601175,13.4343354203113,244.21979884912392,81.47805821038516,0.6208160537405135,-0.27045155073291544,1.65427792924791,-0.9427488161555174,-0.07116499591209231,-85.389013145311,15.649671507668813,,-0.15381447465638154,0.5396816705910196,,1.11646689171978,O8-9Ve,xkcd:dark blue,xkcd:blue
465628193526364416,40.91843191991435,0.006756731308996677,61.434377668355616,0.008564884774386883,-0.7289798897496916,0.010312550701200962,0.13432816094165279,0.011728739365935326,0.18150880543038156,0.011328215710818768,,,12.386541366577148,135.93415668064728,1.4287879422071408,1.0006848573684692,5.1687217,4.8863296,5.4875684,Swift J0243.6+6124,,,,,,,28.3,0.2,9.8661,0.0003,5.509374587248629,-0.7167206082424593,-0.18912245821688806,12.39515842179176,243.45168046193712,109.80117279517823,0.7054520081533407,-0.30838243279444794,-1.8873208171996785,-1.6455538750891912,0.05721105543966357,-85.46744939113101,5.679991890185767,,0.2233812586933912,0.062048919137896306,,0.3438476916206344,O9.5Ve,xkcd:dark blue,xkcd:blue
465645515129855872,40.131931264833995,0.007332205772399902,61.22933050838676,0.00920911505818367,-0.42343174759612834,0.01132231391966343,-0.2555250178055092,0.011918910779058933,0.37764990611808313,0.012974979355931282,,,10.40222454071045,135.6752737697255,1.0861251738760371,0.9269739985466003,2.4739568,2.4065700000000003,2.5448572,LS I+61 303,,,12.5,,-41.41,0.6,26.496,0.0028,,,2.647955113451878,-0.279058609498088,-0.4083059784791434,10.06896654973379,241.47984983478042,135.04700333459118,1.473198301271711,-0.6451137369363004,-1.9201631580140313,-2.2004110313025027,0.05079968313561308,-38.81945854694601,5.689991410537797,-0.6703782950399559,0.44815412053270376,0.18600807532154387,5.7293463248833705,0.09097622527073537,B0Ve,xkcd:purple,xkcd:green
