Main_ID,RAdeg,DEdeg,PosErr,Pos_ref,Spectype,Spectype_ref,Class,Compact,Mx,Mx_err,Mx_ref,Mo,Mo_err,Mo_ref,Period,Period_err,Period_ref,Superorbital Period,Superorbital Period_err,Superorbital Period_ref,Eccentricity,Eccentricity_err,Eccentricity_ref,Spin_period,Spin_period_err,Spin_period_ref,RV,RV_err,RV_ref,Distance,Distance_err_lo,Distance_err_up,IGR_var,Swift_var,XMM_var,Chandra_var,Var,best_ID,AGILE_ID,AGILE_RA,AGILE_Dec,AGILE_err,AGILE_ref,HEAO_ID,HEAO_RA,HEAO_Dec,HEAO_err,HEAO_ref,UHURU4_ID,UHURU4_RA,UHURU4_Dec,UHURU4_err,UHURU4_ref,ARIEL3_ID,ARIEL3_RA,ARIEL3_Dec,ARIEL3_err,ARIEL3_ref,IGR_ID,IGR_RA,IGR_Dec,IGR_err,IGR_ref,2E_ID,2E_RA,2E_Dec,2E_err,2E_ref,ROSAT_ID,ROSAT_RA,ROSAT_Dec,ROSAT_err,ROSAT_ref,ROSATF_ID,ROSATF_RA,ROSATF_Dec,ROSATF_err,ROSATF_ref,FERMI_ID,FERMI_RA,FERMI_Dec,FERMI_err,FERMI_ref,SAX_ID,SAX_RA,SAX_Dec,SAX_err,SAX_ref,Swift_ID,Swift_RA,Swift_Dec,Swift_err,Swift_ref,XMM_ID,XMM_RA,XMM_Dec,XMM_err,XMM_ref,Chandra_ID,Chandra_RA,Chandra_Dec,Chandra_err,Chandra_ref,2MASS_ID,2MASS_RA,2MASS_Dec,2MASS_err,2MASS_ref,Gaia_ID,Gaia_RA,Gaia_Dec,Gaia_err,Gaia_ref
IGR J00370+6122,9.29013258020323,61.36013319063,2.3371651251283E-09,,BN0.7 Ib,2014A&A...566A.131G,sg,NS,,,,22,,2014A&A...563A...1G,15.6649,0.0014,2021PASJ...73.1389U,,,,0.48,0.03,2014A&A...563A...1G,674,,2021PASJ...73.1389U,-80,3,2014A&A...563A...1G,3401,-171,186,Y,11.2534561157227,1,,Y,Gaia DR3 427234969757165952,,,,,,,,,,,,,,,,,,,,,IGR J00370+6122,9.29,61.36,0.0328333338101705,,,,,,,,,,,,,,,,,,,,,,IGR J00370+6122,9.256,61.338,0.0450000007947286,,2SXPS J003709.6+612135,9.29002,61.35994,0.000750000013245477,,4XMM J003709.8+612136,9.291179,61.360154,0.000375809166666667,,,,,,,2MASS J00370963+6121363,9.290125,61.360111,1.94444445272287E-05,,4.27234969757166E+017,9.29013258020323,61.36013319063,2.3371651251283E-09,
gam Cas,14.1774509982081,60.716722804712,5.09333246284061E-07,,B0.5IVpe,2011ARep...55...31S,Be,,,,,13,0,2000A&A...364L..85H,203.371,0.089,2012A&A...537A..59N,,,,0.26,0.035,2000A&A...364L..85H,,,,-0.018,0.075,2012A&A...537A..59N,,,,,,1,,Y,Gaia DR3 426558460884582016,,,,,,1H0053+604,14.0072,60.7605,0.127323956370791,,,,,,,3A 0053+604,14.1784,60.7203,0,,gam Cas,14.161,60.703,0.0104999999205271,,,,,,,1WGA J0056.7+6042,14.1792,60.7168,0.00361111111111111,,,,,,,,,,,,gamma Cas.,14.165,60.702,0.026666667064031,,,,,,,4XMM J005642.4+604300,14.176882,60.716688,0.000236031388888889,,,,,,,2MASS J00564251+6043002,14.177127,60.716743,8.05555532375971E-05,,4.26558460884582E+017,14.1774509982081,60.716722804712,5.09333246284061E-07,
EM* AS   14,18.9960406988403,59.1539448676557,3.05071447251572E-09,,B2,1960IzKry..24..160B,,,,,,,,,,,,,,,,,,,,,,,,2592,-140,156,,,0,,,Gaia DR3 414196617287885312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4XMM J011558.9+590913,18.995724,59.153879,0.000425976111111111,,,,,,,2MASS J01155905+5909141,18.996062,59.153919,1.66666662941376E-05,,4.14196617287885E+017,18.9960406988403,59.1539448676557,3.05071447251572E-09,
2S 0114+650,19.5112270468634,65.2916226028547,2.07255568562282E-09,,B1Iae,2015A&A...579A.111K,sg,NS,,,,16,2,2017ApJ...844...16H,11.5983,0.0006,1985ApJ...299..839C,30.76,0.03,2013ApJ...778...45C,0.18,0.05,2006A&A...458..513K,10008,36,1992A&A...262L..25F,-31,5,2003RMxAA..39...17K,4475,-183,217,,1.16324210166931,1,,Y,Gaia DR3 524924310153249920,,,,,,,,,,,,,,,,3A 0114+650,19.5073,65.293,0,,1A 0114+650,19.511,65.292,0.00683333327372869,,,,,,,1WGA J0118.0+6517,19.5071,65.2948,0.00361111111111111,,,,,,,,,,,,3A 0114+650,19.51,65.288,0.0283333341280619,,2SXPS J011802.8+651726,19.51207,65.2908,0.000972222222222222,,4XMM J011802.6+651731,19.511153,65.291956,0.000269432222222222,,,,,,,2MASS J01180266+6517298,19.511102,65.291618,1.66666662941376E-05,,5.2492431015325E+017,19.5112270468634,65.2916226028547,2.07255568562282E-09,
4U 0115+634,19.6331934830623,63.7425224055765,3.02656139764521E-09,,B0.2Ve,2001A&A...369..108N,Be,NS,,,,17.5,,1996MNRAS.280L..31P,24.3174,0.0004,2010MNRAS.406.2663R,,,,0.339,0.005,2010MNRAS.406.2663R,3.614316,0.000005,2011ATel.3745....1J,,,,5787,-453,817,Y,140.806442260742,0,,Y,Gaia DR3 524677469790488960,,,,,,1H0115+635,19.8177,63.8225,0.106526865149001,,,,,,,,,,,,4U 0115+634,19.633,63.74,0.00333333338300387,,,,,,,,,,,,,,,,,,,,,,4U 0115+634,19.667,63.736,0.0333333333333333,,2SXPS J011831.6+634431,19.63174,63.74222,0.000638888875643412,,4XMM J011831.9+634433,19.633109,63.742706,0.000122418333333333,,,,,,,2MASS J01183196+6344330,19.633192,63.742519,1.66666662941376E-05,,5.24677469790489E+017,19.6331934830623,63.7425224055765,3.02656139764521E-09,
IGR J01363+6610,23.9577173336435,66.2120234667983,2.06754038420816E-09,,B1Ve,2005A&A...440..637R,Be,,,,,12.5,,1996MNRAS.280L..31P,159,2,2010ATel.3079....1C,,,,,,,,,,,,,5816,-407,413,YY,,0,,Y,Gaia DR3 519352324516039680,,,,,,,,,,,,,,,,,,,,,IGR J01363+6610,23.956,66.212,0.0603333314259847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4XMM J013549.8+661243,23.957712,66.212053,0.000146543888888889,,,,,,,2MASS J01354986+6612433,23.957772,66.212029,3.05555553899871E-05,,5.1935232451604E+017,23.9577173336435,66.2120234667983,2.06754038420816E-09,
RX J0146.9+6121,26.7508754876486,61.3565729115145,3.19459372096592E-09,,B1IIIe,1997A&A...323..853M,Be,NS,,,,9.6,,1996MNRAS.280L..31P,330,,2018MNRAS.481.2779S,,,,,,,1407.4,3,1998A&A...330..189H,,,,2751,-138,162,Y,1.3019517660141,1,,Y,Gaia DR3 511220031584305536,,,,,,,,,,,,,,,,,,,,,RX J0146.9+6121,26.751,61.357,0.0318333327770233,,,,,,,1WGA J0146.9+6121,26.7479,61.3579,0.0138888888888889,,,,,,,,,,,,RX J0146.9+6121,26.789,61.342,0.0299999992052714,,2SXPS J014659.9+612123,26.74966,61.35653,0.000944444470935398,,4XMM J014700.2+612123,26.750835,61.356558,8.26669444444444E-05,,,,,,,2MASS J01470019+6121236,26.75083,61.356567,1.66666662941376E-05,,5.11220031584306E+017,26.7508754876486,61.3565729115145,3.19459372096592E-09,
IGR J01583+6713,29.5770329133943,67.2231846066058,2.45622669657071E-09,,B2IVe+,2008MNRAS.386.2253K,Be,NS,,,,12.5,,1996MNRAS.280L..31P,,,,,,,,,,469.2,,2008MNRAS.386.2253K,,,,6048,-472,464,Y,0.999626338481903,,,Y,Gaia DR3 518990967445248256,,,,,,,,,,,,,,,,,,,,,IGR J01583+6713,29.576,67.224,0.0331666668256124,,,,,,,,,,,,,,,,,,,,,,,,,,,2SXPS J015818.3+671324,29.57629,67.22337,0.000972222222222222,,,,,,,,,,,,2MASS J01581848+6713234,29.57701,67.223183,2.22222217255168E-05,,5.18990967445248E+017,29.5770329133943,67.2231846066058,2.45622669657071E-09,
LS I+61 303,40.131931264834,61.2293305083868,2.03672382566664E-09,,B0Ve,1981PASP...93..741H,"$\gamma$\,Be",,,,,12.5,,2005MNRAS.360.1105C,26.496,0.0028,2002ApJ...575..427G,1628,48,2016A&A...585A.123M,0.537,0.034,2009ApJ...698..514A,,,,-41.41,0.6,2009ApJ...698..514A,2504,-67,72,,1.91837620735168,1,1,Y,Gaia DR3 465645515129855872,,,,,,,,,,,,,,,,,,,,,LS I+61 303,40.132,61.229,0.0346666653951009,,,,,,,1WGA J0240.5+6113,40.1304,61.2276,0.00361111111111111,,,,,,,4FGL J0240.5+6113,40.1426,61.2287,0.005427,,1E 0236.6+6100,40.178,61.237,0.0716666698455811,,2SXPS J024031.5+611345,40.13163,61.22926,0.000416666666666667,,4XMM J024031.6+611345,40.131943,61.229307,2.30061111111111E-05,,2CXO J024031.6+611345,40.1320710739022,61.2292270408595,0.000198035368584324,,2MASS J02403165+6113456,40.131903,61.229343,1.66666662941376E-05,,4.65645515129856E+017,40.131931264834,61.2293305083868,2.03672382566664E-09,
Swift J0243.6+6124,40.9184319199144,61.4343776683556,1.87686980805463E-09,,O9.5V,2020A&A...640A..35R,Be,NS,,,,,,,28.3,0.2,2018A&A...613A..19D,,,,0.092,0.007,2018A&A...613A..19D,9.8661,0.0003,2017ATel10812....1J,,,,5189,-314,291,,23.1204814910889,1,,Y,Gaia DR3 465628193526364416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1WGA J0243.6+6127,40.9167,61.4507,0.0138888888888889,,,,,,,,,,,,,,,,,2SXPS J024340.5+612604,40.91899,61.4346,0.000416666666666667,,4XMM J024340.4+612602,40.918518,61.433929,0.000527907777777778,,,,,,,2MASS J02434041+6126037,40.918407,61.43438,1.66666662941376E-05,,4.65628193526364E+017,40.9184319199144,61.4343776683556,1.87686980805463E-09,
V 0332+53,53.7496297249785,53.1731399782842,3.86930122557614E-09,,O8.5Ve,1999MNRAS.307..695N,Be,NS,,,,18.8,,2005A&A...436.1049M,36.5,0.29,2010MNRAS.406.2663R,,,,0.417,0.007,2010MNRAS.406.2663R,4.4,,1985ApJ...288L..45S,,,,5584,-506,730,Y,25,0,0,Y,Gaia DR3 444752973131169664,,,,,,,,,,,,,,,,,,,,,EXO 0331+530,53.75,53.173,0.00300000011920929,,,,,,,1WGA J0335.0+5310,53.7537,53.1747,0.00361111111111111,,,,,,,,,,,,,,,,,2SXPS J033500.0+531020,53.75011,53.1725,0.000972222222222222,,4XMM J033459.8+531022,53.749315,53.172985,0.000544199166666667,,2CXO J033459.9+531023,53.7495926223873,53.1731944041033,0.000211875588575771,,2MASS J03345990+5310233,53.749603,53.173149,1.66666662941376E-05,,4.4475297313117E+017,53.7496297249785,53.1731399782842,3.86930122557614E-09,
