GaiaDR3,Name
427234969757165952,"IGR J00370+6122"
426558460884582016,"gam Cas"
414196617287885312,"TYC 3681-695-1"
524924310153249920,"2S 0114+650"
524677469790488960,"4U 0115+63"
519352324516039680,"IGR J01363+6610"
511220031584305536,"RX J0146.9+6121"
,"RX J0148.9+6121"
518990967445248256,"IGR J01583+6713"
465645515129855872,"LS I +61 303"
465628193526364416,"Swift J0243.6+6124"
444752973131169664,"V0332+53"
168450545792009600,"4U 0352+309"
276644757710014976,"XTE J0421+560"
252878401557369088,"BSD 24-491"
184497471323752064,"HD 34921"
3441207615229815040,"1A 0535+262"
3431561565357225088,"HD 249179"
3423526544838563328,"IGR J06074+2205"
3131822364779745536,"HESS J0632+057"
3131755947406031104,"PSR J0635+0533"
3052677318793446016,"MXB 0656-072"
2935943990338336000,"MAXI J0709-159"
5613494119551805184,"4U 0728-25"
5489434710755238400,"CCDM J07474-5320A"
,"1H 0749-600"
5597252305589385984,"SGR 0755-2933"
5548261400354128768,"LS 992"
5541793213959987968,"IGR J08262-3736"
5523448274762133632,"Ginga 0834-430"
5522306019626566528,"IGR J08408-4503"
5620657678322625920,"HD 77581"
5311384333263075840,"MAXI J0903-531"
5258414192353423360,"GRO J1008-57"
5259009543533179648,"IGR J10101-5654"
5255509901121774976,"1FGL J1018.6-5856"
5352018121173519488,"LS 1698"
5337747731560719616,"HD 96670"
5336957010898124160,"1A 1118-61"
5337498593446516480,"Cen X-3"
5339047221168787712,"IGR J11215-5952"
5333660129603575808,"IGR J11305-6256"
5335021664274920576,"IGR J11435-6109"
5334851450481641088,"1E 1145.1-6141"
5334823859608495104,"4U 1145-619"
6053076566300433920,"1ES 1210-64.6"
6054569565614460800,"3U 1223-62"
6054778507172454912,"IGR J12341-6143"
5837600152935767680,"HR 4804"
,"1A 1238-59"
6055103928246312960,"HD 110432"
5862928537183584768,"SRGA J124404.1-632232"
,"1A 1244-60"
6060547335455660032,"mu.02 Cru"
5863533199843070208,"3U 1258-61"
5862285700835092352,"2RXP J130159.6-635806"
5862299960127967488,"PSR B1259-63"
,"IGR J13186-6257"
,"SAX J1324.4-6200"
5864664975280537728,"HD 119682"
,"3FGL J1405.4-6119"
,"IGR J14059-6116"
,"MAXI J1409-619"
5854175187680510336,"2S 1417-624"
5878377736381364608,"IGR J14331-6112"
,"IGR J14488-5942"
5883218164517055488,"Cir X-1"
5886085557746480000,"4U 1538-52"
5882543824607819776,"XTE J1543-568"
5884544931471259136,"HD 141926"
,"2S 1553-542"
5935509395659726592,"IGR J16195-4945"
5934776158877214848,"IGR J16207-5129"
5933976985766949376,"Swift J1626.6-5156"
,"IGR J16283-4838"
5940777877435137024,"IGR J16318-4848"
,"IGR J16320-4751"
,"IGR J16328-4726"
5940576971716473344,"IGR J16327-4940"
5940285090075838848,"IGR J16374-5043"
,"IGR J16393-4643"
5943166184173519744,"IGR J16418-4532"
5943246345430928512,"IGR J16465-4507"
,"IGR J16479-4514"
,"IGR J16493-4348"
5966213219190201856,"AX J1700.2-4220"
,"OAO 1657-415"
5976382915813535232,"HD 153919"
,"AX J1714.1-3912"
,"XTE J1716-389"
5980409632300781056,"IGR J17200-3116"
,"IGR J17252-3616"
4054559284753424000,"IGR J17354-3255"
,"IGR J17375-3022"
4056922105185686784,"XTE J1739-302"
,"RX J1739.4-2942"
4040960662373474176,"XTE J1743-363"
,"1E 1740.7-2942"
4060784345959549184,"HD 161103"
,"AX J1749.1-2733"
,"AX J1749.2-2725"
,"GRO J1750-27"
,"IGR J17503-2636"
4063908810076415872,"IGR J17544-2619"
4070770243676311936,"IGR J17586-2129"
4070968778561141760,"IGR J18027-2016"
4146789141900648576,"IGR J18048-1455"
,"2MASS J18081689-1919395"
,"Swift J1816.7-1613"
,"IGR J18179-1621"
4097365235226829312,"SAX J1818.6-1703"
,"AX J1820.5-1434"
4152643113595580416,"IGR J18214-1318"
,"IGR J18219-1347"
,"XTE J1824-141"
,"IGR J18256-1035"
4104196427943626624,"LS 5039"
,"XTE J1829-098"
,"HESS J1832-093"
4155000844481174656,"SS 397"
4155023796790984064,"NGC 6649 9"
4156747212545110400,"Sct X-1"
4253473896214500096,"IGR J18406-0539"
4256500538116700160,"AX J1841.0-0536"
,"1AGLR J1839-0550"
,"Ginga 1839-04"
4258160560148155648,"AX J1845.0-0433"
4278536022438800640,"Ginga 1843+009"
4259088994635370752,"IGR J18462-0223"
,"IGR J18482+0049"
,"2S 1845-024"
4258428501693172736,"IGR J18483-0311"
4255891924062617088,"XTE J1855-026"
,"Ginga 1855-02"
,"XTE J1858+034"
4310118570535453696,"XTE J1859+083"
4268774695647764352,"4U 1901+03"
4310649153642824320,"XTE J1906+090"
4309225217336733824,"4U 1907+09"
,"AX J1910.7+0917"
4306419980916246656,"4U 1909+07"
4512787627579740032,"UCAC4 528-094936"
4293406612283985024,"SS 433"
4309253392325650176,"IGR J19140+0951"
,"IGR J19149+1036"
4323316622779495680,"IGR J19294+1816"
,"1H 1936+541"
2021785421455305344,"1RXS J194211.9+255552"
2028089540103670144,"XTE J1946+274"
2031939548802102656,"KS 1947+300"
2026914849346539008,"AX J1949.8+2534"
2034031438383765760,"4U 1954+31"
2059383668236814720,"Cyg X-1"
2033989790047905024,"2MASS J20002185+3211232"
,"W63 X-1"
2083644392294059520,"SAO 49725"
2067835682818358400,"PSR J2032+4127"
2063791369815322752,"EXO 2030+375"
,"Cyg X-3"
2070085317968809216,"SRGE J204319.0+443820"
2065653598916388352,"GRO J2058+42"
2162805896614571904,"SAX J2103.5+4545"
1978365123143522176,"IGR J21343+4738"
2178178409188167296,"Cep X-4"
1979911002134040960,"1H 2202+501"
2005653524280214400,"4U 2206+54"
2201091578667140352,"SAX J2239.3+6116"
1982359580155628160,"HD 215227"
2207277877757956352,"IGR J22534+6243"
