SpType,GaiaDR3
"BN0.5II-III / BN0.7Ib",427234969757165952
"B0.5IVpe",426558460884582016
"B1-2 III/Ve",414196617287885312
"B1Iae",524924310153249920
"B0.2Ve",524677469790488960
"B1Ve",519352324516039680
"B1III-Ve",511220031584305536
" ",
"B2IVe",518990967445248256
"B0Ve",465645515129855872
"O9.5Ve",465628193526364416
"O8-9Ve",444752973131169664
"B0Ve",168450545792009600
"B1/2I[e]",276644757710014976
"B0e",252878401557369088
"B0 IVpe",184497471323752064
"O9.7IIIe",3441207615229815040
"B5ne",3431561565357225088
"B0.5Ve",3423526544838563328
"B0Vpe",3131822364779745536
"B1IIIe-B2Ve",3131755947406031104
"O9.7Ve",3052677318793446016
" ",2935943990338336000
"O5Ve",5613494119551805184
"B7 IV-Ve",5489434710755238400
"B8IIIe",
"B0Ve",5597252305589385984
"B0.2IVe",5548261400354128768
"OBV",5541793213959987968
"B0-2III-Ve",5523448274762133632
"O8.5Ib-II(f)p",5522306019626566528
"B0.5 Ib",5620657678322625920
"B1.5-2 III-Ve",5311384333263075840
"B0 IIIVe",5258414192353423360
"B0.5Ve or B0Ivpe",5259009543533179648
"O6V((f))",5255509901121774976
"B0V-IIIe",5352018121173519488
"O8.5f(n)p",5337747731560719616
"O9.5Ve",5336957010898124160
"O6.5 II-III",5337498593446516480
"B0.5Ia",5339047221168787712
"B0IIIne",5333660129603575808
"B0.5Ve",5335021664274920576
"B2Iae",5334851450481641088
"B0.2 III",5334823859608495104
"B5V",6053076566300433920
"B1 Ia+",6054569565614460800
" ",6054778507172454912
"B8Vn(e)",5837600152935767680
" ",
"B0.5IVpe",6055103928246312960
"Be",5862928537183584768
" ",
"B5Vne",6060547335455660032
"B2 Vne",5863533199843070208
"B0-6Ve",5862285700835092352
"O9.5Ve",5862299960127967488
"B0-6Ve",
"Be?",
"B0Ve",5864664975280537728
"O6.5III",
"O6.5III",
"O/B?",
"B1Ve",5854175187680510336
"early BIII or mid BV",5878377736381364608
"Oe/Be",
"B5-A0I",5883218164517055488
"B0 Iab",5886085557746480000
"Be?",5882543824607819776
"B2 IIIn",5884544931471259136
"B1-2V",
"ON9.7Iab",5935509395659726592
"B0I / B1Ia",5934776158877214848
"B0-2Ve",5933976985766949376
"sgBe",
"B0-5sgBe",5940777877435137024
"O8I",
"O8Iafpe",
"OB",5940576971716473344
" ",5940285090075838848
"BIV-V(OB)$^dag$",
"BN0.5Ia",5943166184173519744
"B0.5-1Ib",5943246345430928512
"O8.5Ib",
"B0.5Ib",
"B2e",5966213219190201856
"Ofpe/WN9",
"O6Iafcp",5976382915813535232
" ",
" ",
" ",5980409632300781056
"O8.5I",
"O8.5Iab(f) or O9Iab",4054559284753424000
" ",
"O8Iab(f)",4056922105185686784
"Be?",
"OI",4040960662373474176
" ",
"B0.5 III-Ve",4060784345959549184
"B1-3",
"B3",
"B1-2",
" ",
"O9Ib",4063908810076415872
" ",4070770243676311936
"B1Ib",4070968778561141760
" ",4146789141900648576
"Be?",
"B0-2e",
" ",
"B0.5Iab",4097365235226829312
"O9.5-B0Ve",
"B0V-O9I",4152643113595580416
" ",
"Be?",
" ",
"ON6V((f))z",4104196427943626624
"O/B",
" ",
"B0.5Ve",4155000844481174656
"B0Ve",4155023796790984064
"M5III-V",4156747212545110400
"B5V",4253473896214500096
"B1Ib",4256500538116700160
" ",
" ",
"O9.5I",4258160560148155648
"B0-2IV-Ve",4278536022438800640
" ",4259088994635370752
" ",
"OB",
"B0.5-1Iab",4258428501693172736
"B0Iaep",4255891924062617088
" ",
"K-M",
"B0-2Ve",4310118570535453696
"B8-9 IVe",4268774695647764352
"Be?",4310649153642824320
"O8-9 Ia",4309225217336733824
"early BI",
"O7.5-9.5If",4306419980916246656
"Be",4512787627579740032
"A3-7 I",4293406612283985024
"B0.5Ia",4309253392325650176
" ",
"B1Ve",4323316622779495680
"Be",
" ",2021785421455305344
"B01-IVVe",2028089540103670144
"B0Ve",2031939548802102656
"early BIa",2026914849346539008
"M4 I",2034031438383765760
"O9.7Iabpvar",2059383668236814720
"early BV or mid BIII",2033989790047905024
"Be?",
"B0.5III-Ve",2083644392294059520
"B0:e/B0:Vn",2067835682818358400
"B0Ve",2063791369815322752
"WN 4-6",
"B0-2e",2070085317968809216
"O9.5-B0IV-Ve",2065653598916388352
"B0Ve",2162805896614571904
"B1--1.5III--V",1978365123143522176
"B1-B2Ve",2178178409188167296
"B3e",1979911002134040960
"O9.5IIIe",2005653524280214400
"B0Ve",2201091578667140352
"B1.5-B2III",1982359580155628160
"B0-1III-Ve",2207277877757956352
