,source_id,l,b,distance,pm_l_poleski,pm_b_poleski,Peculiar Velocity,Mass_compact,M_compact_lower,M_compact_upper,Mass_companion,M_companion_lower,M_companion_upper
0,168450545792009600,163.08,-17.14,0.61,0.31,-2.25,14.03,,,,,,
1,184497471323752064,170.05,0.71,1.39,4.04,-1.18,12.13,,,,,,
2,252878401557369088,159.85,-1.27,2.64,0.96,-0.7,1.43,,,,,,
3,276644757710014976,149.18,4.13,4.76,0.03,-0.7,10.76,,,,,,
4,414196617287885312,126.08,-3.57,2.95,-2.39,-0.8,13.26,,,,,,
5,426558460884582016,123.58,-2.15,,,,,,,,,,
6,427234969757165952,121.22,-1.46,3.68,-1.82,-0.44,1.92,,,,,,
7,444752973131169664,146.05,-2.19,7.44,-0.48,0.2,18.23,,,,,,
8,465628193526364416,135.93,1.43,5.51,-0.72,-0.19,2.38,,,,,,
9,465645515129855872,135.68,1.09,2.65,-0.28,-0.41,4.17,,,,,,
10,511220031584305536,129.54,-0.8,3.05,-0.99,-0.31,4.52,,,,,,
11,518990967445248256,129.35,5.19,7.5,-1.23,-0.03,4.25,,,,,,
12,519352324516039680,127.39,3.73,5.99,-1.59,-0.32,9.42,,,,,,
13,524677469790488960,125.92,1.03,7.34,-1.73,0.31,21.92,,,,,,
14,524924310153249920,125.71,2.56,5.09,-1.32,0.62,20.31,,,,,,
15,1978365123143522176,92.17,-3.12,11.97,-3.35,-0.43,30.81,,,,,,
16,1979911002134040960,97.25,-4.04,1.14,1.73,-1.64,24.95,,,,,,
17,1982359580155628160,100.18,-12.4,2.06,-4.56,-1.13,10.3,,,,,,
18,2005653524280214400,100.6,-1.11,3.28,-5.32,-0.32,26.16,,,,,,
19,2021785421455305344,61.58,1.35,51.86,-4.43,-0.32,773.03,,,,2.17,2.0,2.3
20,2026914849346539008,62.14,-0.34,8.98,-5.64,-0.61,25.85,,,,,,
21,2028089540103670144,63.21,1.4,48.33,-4.71,0.02,766.04,,,,,,
22,2031939548802102656,66.1,2.08,36.16,-4.67,-0.16,502.33,,,,,,
23,2033989790047905024,68.99,1.13,14.82,-5.16,0.11,107.09,,,,,,
24,2034031438383765760,68.39,1.93,3.88,-6.3,-1.35,25.83,,,,,,
